PA0;Bug
PA1;50-54
PA2;55-59
PA3;60-64
PA4;65-69
PA5;70-74
PA6;75-79
PA7;80-84
PA8;85-89
PA9;90-94
PA10;95-99
PA11;Klawiatura_komputerowa
PA12;Mysz_komputerowa
PA13;Mysz_komputerowa_z_trackballem
PA14;Touchscreen
PA15;Joystick
PA16;Gamepad
PA17;Micro-joystick
PA18;Przycisk_nawigacji
PA19;Klawiatura_telefonu_komórkowego
PA20;Kontroler_ruchu
PA21;Touchpad
PA22;Trackball
PA23;Mysz_komputerowa_typu_joystick
PA24;Długopis_świetlny
PA25;Pilot
PA26;Klawiatura_ekranowa
PA27;Klawiatura_numeryczna
PA28;Rollermouse
PA29;Mysz_komputerowa_typu_3D
PA30;Kontroler_gier_typu_kierownica
PA31;Przycisk
PA32;Pokrętło
PA33;Rękawica_wirtualna
PA34;Nigdy_nie_użytkowałem_żadnego_z_powyższych__urządzeń
A1;Nie
A2;Tak
A3;Lewa
A4;Prawa
A5;Bardzo_słabo
A6;Słabo
A7;Średnio
A8;Mocno
A9;Bardzo_mocno
A10;Nie
A11;Tak
A12;Nie
A13;Tak
A14;Nie
A15;Tak
A16;Nie
A17;Tak
A18;Nie_wiem_co_to
A19;Nie_mam_miejsca._Preferuję_mniejsze_urządzenie
A20;Mam_miejsce._Preferuję_większe_urządzenie
A21;Nie
A22;Tak
A23;Nie
A24;Tak
A25;Nie
A26;Tak
A27;Nie
A28;Tak
A29;Zimne_dłonie_lub_palce
A30;Ból_dłoni
A31;Ból_w_nadgarstku
A32;Ból_w_łokciu
A33;Ból_w_barku
A34;Sztywność_palca_1-2
A35;Sztywność_palca_3-5
A36;Sztywność_dłoni
A37;Mrowienie_palca_1-2
A38;Mrowienie_palca_3-5
A39;Mrowienie_dłoni
A40;Skurcze_palca_1-2
A41;Skurcze_palca_3-5
A42;Lewostronne_skrzywienie_palca_1-2
A43;Lewostronne_skrzywienie_palca_3-5
A44;Prawostronne_skrzywienie_palca_1-2
A45;Prawostronne_skrzywienie_palca_3-5
A46;Czytać
A47;Dzwonić
A48;Śledzić_swoją_aktywność_sportową
A49;Wykonywać_zdjęcia
A50;Korzystać_z_Internetu
A51;Korzystać_ze_specjalistycznego_oprogramowania
A52;Korzystać_z_elektronicznych_map
A53;Rozmawiać_poprzez_Skype
A54;Przeglądać_zdjęcia
A55;Słuchać_muzyki
A56;Oglądać_filmy
A57;Grać_w_gry
A58;Pisać
A59;Długość_ręki_130-170
A60;Długość_ręki_171-180
A61;Długość_ręki_181-190
A62;Długość_ręki_191-200
A63;Długość_ręki_201-240
A64;Długość_dłoni_70-100
A65;Długość_dłoni_101-110
A66;Długość_dłoni_111-120
A67;Długość_dłoni_121-130
A68;Długość_dłoni_131-160
A69;Szerokość_dłoni_70-80
A70;Szerokość_dłoni_81-83
A71;Szerokość_dłoni_84-86
A72;Szerokość_dłoni_87-89
A73;Szerokość_dłoni_90-100
A74;Długość_palca_wskazującego_60-70
A75;Długość_palca_wskazującego_71-75
A76;Długość_palca_wskazującego_76-79
A77;Długość_palca_wskazującego_80-84
A78;Długość_palca_wskazującego_85-95
A79;Szerokość_palca_wskazującego_15-17
A80;Szerokość_palca_wskazującego_18
A81;Szerokość_palca_wskazującego_19
A82;Szerokość_palca_wskazującego_20
A83;Szerokość_palca_wskazującego_21-25
A84;Potrzebuję_urządzenia_sterowniczego_o_bardzo_niskim_poziomie_ergonomiczności
A85;Potrzebuję_urządzenia_sterowniczego_o_niskim_poziomie_ergonomiczności
A86;Potrzebuję_urządzenia_sterowniczego_o_średnim_poziomie_ergonomiczności
A87;Potrzebuję_urządzenia_sterowniczego_o_wysokim_poziomie_ergonomiczności
A88;Potrzebuję_urządzenia_sterowniczego_o_bardzo_wysokim_poziomie_ergonomiczności
A89;Częściowe_objęcie_urządzenia_dłonią
A90;Palce_spoczywające_obok_urządzenia
A91;Palce_nie_sięgają_do_przycisków
A92;Palce_wystają_poza_przyciski
A93;Dłoń_„zalewająca”_urządzenie
A94;Uniesienie
A95;Trzymanie_bez_podparcia
A96;Odwiedzenie_lewo-_lub_prawostronne
A97;Zgięta
A98;Uniesiona_lub_opuszczona
A99;Płasko_ułożona
A100;Ułożona_pod_kątem_45°
A101;Wertykalnie_ułożona
A102;Nadmierne_rozwarcie
A103;Ciasne_skupienie
A104;Przeprosty
A105;Na_krawędzi_górnej
A106;Na_krawędzi_dolnej
A107;Na_krawędzi_bocznej
A108;Na_skraju
A109;Centralne
A110;Podkurczenie_(zgięcie)_palca_lub_kilku_palcy_i_oparcie_ich_o_urządzenie
A111;Stosowanie_rękoma_krzyżowego_chwytu_i_aktywacji_elementów_sterowniczych
A112;Uchwycenie_i/lub_aktywacja_obiema_rękoma_urządzenia_jednoręcznego
A113;Stosowanie_„odskakiwania”_palca,_palcy,_czy_dłoni_po_aktywacji_elementu_sterowniczego
A114;Zastosowanie_chwytu_szczypcowego_zamiast_możliwego_objęcia_całą_ręką_urządzenia
A115;Zastosowanie_chwytu_szczypcowego_zamiast_możliwego_objęcia_całą_ręką_elementu_sterowniczego
A116;Celowanie_urządzeniem_w_monitor_jak_pilotem_telewizyjnym
A117;Trzymanie_jedną_ręką_drugiej_wykonującej_czynności_sterownicze_(np._chwyt_przedramienia)
A118;Skrupulatne_przykładanie_się_do_wykonywanych_zadań_sterowniczych
A119;Za_wczesne_puszczenie_elementu_sterowniczego
A120;Niewykonanie_pełnej_kombinacji_czynności_sterowniczych
A121;Niezamierzona_niewłaściwa_kilkukrotna_aktywacja_tego_samego_elementu_sterowniczego
A122;Niezamierzona_aktywacja_elementu_sterowniczego_podczas_obejmowania_urządzenia_–_nacisk_dłoni
A123;Niezamierzona_aktywacja_elementu_sterowniczego_podczas_obejmowania_urządzenia_–_nacisk_palcy
A124;Niezamierzona_aktywacja_elementu_niewłaściwym_palcem_podczas_aktywowania_właściwego_elementu_sterowniczego
A125;Niezamierzona_aktywacja_elementu_niewłaściwą_częścią_dłoni_podczas_aktywowania_właściwego_elementu_sterowniczego
A126;Mylna_aktywacja_innego_elementu_sterowniczego_zamiast_właściwego_właściwą_częścią_ręki
A127;Nieułożenie_lub_tylko_częściowe_ułożenie_palca_w_wyprofilowaniu_chwytu
A128;Nieułożenie_lub_tylko_częściowe_ułożenie_palca_w_wyprofilowaniu_elementu_sterowniczego
A129;Ułożenie_palca_na_niewłaściwej_części_obudowy_urządzenia
A130;Ułożenie_palca_na_niewłaściwym_elemencie_sterowniczym
A131;Ułożenie_kilku_palcy_na_jednym_elemencie_sterowniczym
A132;Unoszenie_przemieszczanego_urządzenia_w_celu_uzyskania_większego_zakresu_ruchu
A133;Unoszenie_urządzenia_lub_jego_przechylanie_w_celu_poprawy_chwytu
A134;Dostanie_się_palcy,_czy_paznokci_pod_urządzenie
A135;Zablokowanie_elementu_sterowniczego_spowodowane_ustawienie_wystających_części_elementu_nad_innymi_obiektami
A136;Niewłaściwa_reakcja_urządzenia_lub_jej_brak
A137;Uchwycenie_urządzenia_odwróconego_od_osi_wzdłużnej_dłoni
A138;Zahaczenie_przewodem_zasilającym_o_inne_obiekty_podczas_przemieszczania_urządzenia
A139;Najechanie_urządzeniem_na_przewód_zasilający
A140;Uderzenie_urządzeniem_w_inny_obiekt_podczas_użytkowania
A141;Trudność_z_„nadążeniem”_za_wskaźnikiem
A142;Urządzenie_wymusza_pracę_całego_przedramienia
A143;Urządzenie_wymusza_niewygodną_np._skręconą_pozycję_dłoni,_czy_palcy
A144;Urządzenie_wymusza_odczucia_niewygodnych_ucisków_na_dłoń,_czy_palce
A145;Urządzenie_wymusza_nadmierną_siłę_w_celu_wciśnięcia_elementu_sterowniczego
A146;Urządzenie_wymusza_nadmierną_siłę_w_celu_przesunięcia_urządzenia
A147;Bardzo_trudno
A148;Trudno
A149;Brak_opinii
A150;Łatwo
A151;Bardzo_łatwo
A152;Słabo_wykonane
A153;Brak_opinii
A154;Umiarkowanie_wykonane
A155;Neutralnie_wykonane
A156;Solidnie_wykonane
A157;Zimne
A158;Gorące
A159;Trudno_powiedzieć
A160;Umiarkowanie_ciepłe
A161;Przyjemnie_ciepłe
A162;Ograniczona
A163;Za_duża
A164;Dobra
A165;Zbyt_kanciasty_lub_zbyt_okrągły
A166;Zbyt_skomplikowany
A167;Brak_opinii
A168;Neutralny
A169;Dobry
A170;Zbyt_jaskrawa_(odblaski)
A171;Zbyt_ciemna
A172;Zbyt_jasna
A173;Za_dużo_kolorów
A174;Dobra
A175;Konieczność_sprawdzania_wzrokiem_orientacji_urządzenia_względem_ręki
A176;Konieczność_sprawdzania_wzrokiem_położeniem_elementów_sterowniczych
A177;Konieczność_sprawdzania_wzrokiem_działaniem_urządzenia
A178;Konieczność_sprawdzania_wzrokiem_czy_działaniem_elementów_sterowniczych
A179;+/-_41_i_więcej
A180;+/-_31-40
A181;+/-_21-30
A182;+/-_11-20
A183;+/-_0-10
A184;81_i_więcej
A185;61-80
A186;41-60
A187;21-40
A188;0-20
A189;1:01_i_więcej
A190;0:31-1:00
A191;0:21-0:30
A192;0:11-0:20
A193;0-0:10
A194;16:01_i_więcej
A195;12:01-16:00
A196;8:01-12:00
A197;4:01-8:00
A198;0:00-4:00
A199;Brak
A200;Mały
A201;Umiarkowany
A202;Duży
A203;Bardzo_duży
A204;121_i_więcej
A205;91-120
A206;61-90
A207;31-60
A208;0-30
A209;Inny
A210;Żadna_z_powyższych
A211;Żadna_z_powyższych
A212;Żadna_z_powyższych
A213;Żadna_z_powyższych
A214;Żadna_z_powyższych
A215;Żadna_z_powyższych
A216;Żadna_z_powyższych